dataset,cifar100
model,resnet18
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,True
cutout,True
n_holes,1
length,8
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.09158,0.154
1,0.19816,0.2478
2,0.30122,0.3149
3,0.3862,0.3791
4,0.44518,0.4324
5,0.4869,0.4011
6,0.52176,0.4848
7,0.5426,0.5278
8,0.5599,0.5339
9,0.57198,0.526
10,0.5843,0.5059
11,0.5984,0.5311
12,0.60466,0.5367
13,0.61392,0.5286
14,0.61758,0.5224
15,0.62346,0.5237
16,0.62862,0.5451
17,0.63572,0.5604
18,0.6362,0.5821
19,0.64166,0.5585
20,0.64668,0.5563
21,0.6491,0.5785
22,0.64848,0.5418
23,0.65416,0.5721
24,0.65324,0.5973
25,0.65884,0.5842
26,0.65898,0.5496
27,0.66218,0.5517
28,0.6625,0.5693
29,0.66406,0.574
30,0.66612,0.5479
31,0.66822,0.5567
32,0.6701,0.5968
33,0.6727,0.5952
34,0.673,0.5974
35,0.67408,0.5854
36,0.67546,0.5289
37,0.67498,0.5836
38,0.67408,0.5761
39,0.67478,0.5358
40,0.67892,0.5481
41,0.68286,0.577
42,0.67954,0.5532
43,0.67976,0.592
44,0.68356,0.5705
45,0.68112,0.6162
46,0.68158,0.6151
47,0.68154,0.5772
48,0.6843,0.5747
49,0.68376,0.5675
50,0.68424,0.5716
51,0.68504,0.5567
52,0.68934,0.6013
53,0.6867,0.566
54,0.68806,0.563
55,0.68976,0.5576
56,0.686,0.5773
57,0.68838,0.5295
58,0.6895,0.5951
59,0.68918,0.5971
60,0.68938,0.5812
61,0.8165,0.7406
62,0.8557,0.7355
63,0.87362,0.74
64,0.88448,0.7327
65,0.89434,0.742
66,0.89952,0.7326
67,0.90438,0.7394
68,0.9095,0.7278
69,0.91106,0.7265
70,0.9063,0.7176
71,0.90926,0.7174
72,0.9052,0.7073
73,0.90712,0.7076
74,0.90708,0.7059
75,0.9057,0.7117
76,0.90682,0.7065
77,0.90594,0.7062
78,0.90264,0.6982
79,0.90468,0.7005
80,0.91102,0.6888
81,0.9044,0.6994
82,0.90868,0.6918
83,0.90618,0.6822
84,0.90908,0.7008
85,0.90858,0.6951
86,0.91084,0.689
87,0.91172,0.6949
88,0.91382,0.6959
89,0.91248,0.6989
90,0.91232,0.6884
91,0.91936,0.6974
92,0.9182,0.6915
93,0.91504,0.6958
94,0.9172,0.6916
95,0.91604,0.6793
96,0.91854,0.6962
97,0.91598,0.7064
98,0.91874,0.6861
99,0.918,0.6908
100,0.91858,0.6966
101,0.92064,0.6819
102,0.9234,0.6994
103,0.92132,0.6919
104,0.922,0.6827
105,0.91894,0.6846
106,0.92124,0.7043
107,0.9231,0.6906
108,0.92026,0.6753
109,0.9266,0.6909
110,0.92608,0.6993
111,0.92298,0.7095
112,0.92424,0.6945
113,0.92302,0.6985
114,0.92752,0.706
115,0.92662,0.708
116,0.92732,0.6732
117,0.9231,0.6924
118,0.92928,0.695
119,0.927,0.6921
120,0.92694,0.6918
121,0.97312,0.7548
122,0.98768,0.7583
123,0.99084,0.7618
124,0.9923,0.759
125,0.99328,0.7615
126,0.99488,0.7636
127,0.99504,0.7636
128,0.9953,0.7653
129,0.99598,0.7661
130,0.99628,0.7649
131,0.99656,0.7655
132,0.99626,0.7668
133,0.9968,0.7686
134,0.997,0.7672
135,0.99704,0.7673
136,0.99682,0.7684
137,0.99746,0.7674
138,0.99742,0.7698
139,0.99754,0.7703
140,0.99742,0.7712
141,0.99762,0.7699
142,0.9976,0.7738
143,0.99766,0.7718
144,0.99784,0.7696
145,0.99772,0.7725
146,0.99792,0.7721
147,0.99744,0.7709
148,0.99794,0.7735
149,0.99818,0.7755
150,0.99822,0.7749
151,0.99812,0.7751
152,0.99816,0.77
153,0.99818,0.7767
154,0.9983,0.7735
155,0.9982,0.7731
156,0.9979,0.7743
157,0.99832,0.7704
158,0.9984,0.7726
159,0.99852,0.7741
160,0.9983,0.7728
161,0.99872,0.775
162,0.99872,0.7764
163,0.99868,0.7782
164,0.9989,0.7778
165,0.99914,0.7784
166,0.99906,0.7787
167,0.99906,0.7813
168,0.99894,0.7803
169,0.99892,0.7799
170,0.99906,0.7791
171,0.99894,0.7796
172,0.99888,0.78
173,0.99908,0.7795
174,0.9991,0.7788
175,0.99882,0.7811
176,0.99862,0.7788
177,0.99926,0.7803
178,0.99904,0.7791
179,0.99892,0.7802
180,0.99914,0.7801
181,0.99886,0.78
182,0.99908,0.7797
183,0.99892,0.7809
184,0.99886,0.7805
185,0.99918,0.7803
186,0.99904,0.7786
187,0.99894,0.7792
188,0.9988,0.7804
189,0.99904,0.7813
190,0.99912,0.7807
191,0.99886,0.7798
192,0.99918,0.7796
193,0.99924,0.7815
194,0.99896,0.781
195,0.99888,0.7794
196,0.99922,0.7796
197,0.99884,0.7814
198,0.99938,0.7795
199,0.99928,0.7805
